Date,Gender,Annual Income,Model,Engine,Transmission,Color,Price ($),Body Style,Company
2022-06-26,Male,13500,Passat,Overhead Camshaft,Manual,Pale White,27000,Hatchback,Volkswagen
2023-09-08,Male,720000,Escort,DoubleÂ Overhead Camshaft,Auto,Red,15001,Passenger,Ford
2023-12-29,Male,1160000,S40,Overhead Camshaft,Manual,Black,36000,Sedan,Volvo
2023-07-10,Male,13500,Ranger,Overhead Camshaft,Manual,Black,18000,Hardtop,Ford
2022-07-11,Male,725000,Passat,Overhead Camshaft,Manual,Red,20001,Hatchback,Volkswagen
2023-07-18,Male,3900000,GTI,Overhead Camshaft,Manual,Black,25000,SUV,Volkswagen
2022-11-30,Male,600000,Avenger,DoubleÂ Overhead Camshaft,Auto,Red,39000,Passenger,Dodge
2022-12-25,Male,970000,RL,Overhead Camshaft,Manual,Pale White,17001,SUV,Acura
2022-07-18,Male,1160000,S40,Overhead Camshaft,Manual,Red,22000,Sedan,Volvo
2022-12-24,Male,730000,323i,DoubleÂ Overhead Camshaft,Auto,Pale White,19001,Hatchback,BMW
2022-09-10,Male,1260000,Bravada,DoubleÂ Overhead Camshaft,Auto,Black,26001,Hatchback,Oldsmobile
2023-04-08,Male,727500,Accord,Overhead Camshaft,Manual,Black,43500,Sedan,Honda
2022-09-21,Male,1050000,Sunfire,DoubleÂ Overhead Camshaft,Auto,Black,18000,Sedan,Pontiac
2022-11-20,Male,920000,Prowler,DoubleÂ Overhead Camshaft,Auto,Pale White,27000,Hatchback,Plymouth
2023-02-16,Male,740000,Eclipse,Overhead Camshaft,Manual,Pale White,12000,Hardtop,Mitsubishi
2023-11-14,Male,825000,Prizm,Overhead Camshaft,Manual,Pale White,22000,SUV,Chevrolet
2023-12-05,Male,1300000,LS400,DoubleÂ Overhead Camshaft,Auto,Black,39001,Sedan,Lexus
2023-09-22,Male,675000,Frontier,DoubleÂ Overhead Camshaft,Auto,Pale White,18000,Hatchback,Nissan
2022-12-04,Male,800000,Sunfire,DoubleÂ Overhead Camshaft,Auto,Black,18000,Sedan,Pontiac
2023-03-06,Male,13500,Grand Am,DoubleÂ Overhead Camshaft,Auto,Pale White,12000,SUV,Pontiac
2023-06-06,Male,4620000,Elantra,Overhead Camshaft,Manual,Pale White,22001,Sedan,Hyundai
2022-11-21,Female,445000,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Pale White,62000,Hatchback,Buick
2022-01-19,Male,860000,Bravada,DoubleÂ Overhead Camshaft,Auto,Pale White,15000,Hatchback,Oldsmobile
2023-06-12,Female,620000,S80,Overhead Camshaft,Manual,Pale White,21000,Sedan,Volvo
2022-10-08,Female,990000,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,Passenger,Volkswagen
2023-05-17,Male,765000,Bravada,Overhead Camshaft,Manual,Black,17000,Hatchback,Oldsmobile
2023-11-26,Male,13500,Golf,DoubleÂ Overhead Camshaft,Auto,Pale White,35000,Hardtop,Volkswagen
2023-03-27,Male,13500,S40,Overhead Camshaft,Manual,Black,36000,Sedan,Volvo
2022-08-09,Male,13500,Boxter,DoubleÂ Overhead Camshaft,Auto,Black,26000,SUV,Porsche
2023-04-03,Male,13500,Cabrio,Overhead Camshaft,Manual,Red,25000,Sedan,Volkswagen
2022-12-27,Female,13500,I30,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,Hardtop,Infiniti
2023-02-19,Female,13500,Viper,DoubleÂ Overhead Camshaft,Auto,Red,23000,SUV,Dodge
2022-12-06,Female,1395000,Monte Carlo,DoubleÂ Overhead Camshaft,Auto,Red,21501,Hatchback,Chevrolet
2023-11-24,Male,549800,RL,Overhead Camshaft,Manual,Pale White,34800,SUV,Acura
2023-03-06,Male,13500,Viper,DoubleÂ Overhead Camshaft,Auto,Red,23000,SUV,Dodge
2022-09-26,Male,797500,Windstar,DoubleÂ Overhead Camshaft,Auto,Pale White,31500,Sedan,Ford
2023-09-17,Male,13500,F-Series,Overhead Camshaft,Manual,Red,13000,Passenger,Ford
2023-11-21,Male,799000,LS,DoubleÂ Overhead Camshaft,Auto,Pale White,45000,Sedan,Saturn
2023-11-29,Male,930000,Jetta,Overhead Camshaft,Manual,Pale White,45000,Passenger,Volkswagen
2023-09-24,Male,1000000,Cutlass,Overhead Camshaft,Manual,Pale White,41000,Sedan,Oldsmobile
2023-11-11,Male,745000,E-Class,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,Sedan,Mercedes-B
2022-01-17,Male,570000,Silhouette,Overhead Camshaft,Manual,Pale White,14000,Sedan,Oldsmobile
2023-08-12,Male,385500,Grand Am,DoubleÂ Overhead Camshaft,Auto,Pale White,12500,SUV,Pontiac
2023-08-08,Male,745000,Catera,DoubleÂ Overhead Camshaft,Auto,Pale White,75000,Hatchback,Cadillac
2023-04-16,Male,760000,I30,Overhead Camshaft,Manual,Red,22000,Hardtop,Infiniti
2022-03-05,Female,13500,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,Black,21000,SUV,Toyota
2022-09-06,Male,2575000,Ram Pickup,DoubleÂ Overhead Camshaft,Auto,Pale White,45501,SUV,Dodge
2022-07-09,Male,645000,C70,Overhead Camshaft,Manual,Black,17000,Hatchback,Volvo
2022-11-10,Male,1400000,Crown Victoria,DoubleÂ Overhead Camshaft,Auto,Red,29000,Passenger,Ford
2022-12-26,Male,615000,Frontier,Overhead Camshaft,Manual,Black,53001,Hatchback,Nissan
2023-08-30,Female,2680000,Forester,Overhead Camshaft,Manual,Pale White,26000,SUV,Subaru
2022-05-07,Male,1870000,Sunfire,Overhead Camshaft,Manual,Red,43000,Sedan,Pontiac
2022-12-04,Female,13500,Tacoma,Overhead Camshaft,Manual,Pale White,24000,Hardtop,Toyota
2022-01-13,Male,2810000,Villager,DoubleÂ Overhead Camshaft,Auto,Pale White,36000,Passenger,Mercury
2023-09-23,Male,13500,S70,Overhead Camshaft,Manual,Pale White,24000,SUV,Volvo
2023-03-14,Male,3010000,LS400,DoubleÂ Overhead Camshaft,Auto,Pale White,27000,Sedan,Lexus
2022-04-25,Male,599900,Ram Van,DoubleÂ Overhead Camshaft,Auto,Red,31900,Hatchback,Dodge
2022-04-11,Male,836000,Prizm,Overhead Camshaft,Manual,Black,16000,Hatchback,Chevrolet
2022-04-18,Male,821000,Silhouette,Overhead Camshaft,Manual,Red,19000,Sedan,Oldsmobile
2023-12-08,Male,1300000,Eldorado,Overhead Camshaft,Manual,Black,29000,Passenger,Cadillac
2023-12-08,Male,1400000,Ram Pickup,Overhead Camshaft,Manual,Black,19000,Hardtop,Dodge
2023-11-20,Male,1300000,Cougar,DoubleÂ Overhead Camshaft,Auto,Black,33000,Hatchback,Mercury
2022-05-18,Female,806000,Jetta,DoubleÂ Overhead Camshaft,Auto,Red,69000,Passenger,Volkswagen
2023-01-07,Male,845000,Lumina,Overhead Camshaft,Manual,Black,10000,Passenger,Chevrolet
2023-09-22,Male,900000,3000GT,Overhead Camshaft,Manual,Pale White,21000,Sedan,Mitsubishi
2022-04-17,Male,460000,Cougar,DoubleÂ Overhead Camshaft,Auto,Black,33000,Hatchback,Mercury
2022-09-13,Male,1680000,RAV4,Overhead Camshaft,Manual,Pale White,22000,Hatchback,Toyota
2022-08-02,Male,1140000,Contour,DoubleÂ Overhead Camshaft,Auto,Pale White,62000,Sedan,Ford
2023-02-21,Female,1150000,Avenger,DoubleÂ Overhead Camshaft,Auto,Red,22001,Passenger,Dodge
2022-11-21,Female,13500,Contour,DoubleÂ Overhead Camshaft,Auto,Pale White,62001,Sedan,Ford
2023-09-04,Male,565000,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,46001,SUV,Nissan
2023-05-30,Male,1101000,A4,Overhead Camshaft,Manual,Pale White,12100,Hardtop,Audi
2023-08-13,Male,1001000,Civic,Overhead Camshaft,Manual,Black,43100,Hatchback,Honda
2023-10-19,Female,270000,SW,DoubleÂ Overhead Camshaft,Auto,Pale White,25000,Passenger,Saturn
2022-04-16,Female,571750,Grand Marquis,Overhead Camshaft,Manual,Black,49750,SUV,Mercury
2023-07-07,Male,545000,Frontier,Overhead Camshaft,Manual,Black,53000,Hatchback,Nissan
2023-01-22,Male,1200000,328i,DoubleÂ Overhead Camshaft,Auto,Black,41000,Sedan,BMW
2022-09-15,Male,970000,Neon,Overhead Camshaft,Manual,Black,29000,SUV,Plymouth
2023-04-15,Male,1540000,Sebring Coupe,DoubleÂ Overhead Camshaft,Auto,Red,19000,Sedan,Chrysler
2023-10-02,Male,13500,Viper,DoubleÂ Overhead Camshaft,Auto,Red,41000,SUV,Dodge
2023-06-07,Female,440000,Celica,DoubleÂ Overhead Camshaft,Auto,Pale White,45001,SUV,Toyota
2023-11-20,Female,788000,RL,Overhead Camshaft,Manual,Pale White,17000,SUV,Acura
2022-12-04,Male,1525000,Wrangler,DoubleÂ Overhead Camshaft,Auto,Red,13500,Hatchback,Jeep
2022-07-09,Male,370000,LHS,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,Hatchback,Chrysler
2022-11-27,Male,505000,Accord,Overhead Camshaft,Manual,Red,14001,Sedan,Honda
2022-09-14,Male,550000,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Pale White,62000,Hatchback,Buick
2023-10-27,Male,13500,Town car,Overhead Camshaft,Manual,Black,17000,Hatchback,Lincoln
2022-12-20,Male,462250,C70,Overhead Camshaft,Manual,Pale White,24250,Hatchback,Volvo
2023-12-08,Male,720000,Corolla,DoubleÂ Overhead Camshaft,Auto,Red,41001,Passenger,Toyota
2023-08-08,Male,1683000,GS400,Overhead Camshaft,Manual,Black,53300,Hatchback,Lexus
2022-10-03,Male,1900000,Diamante,DoubleÂ Overhead Camshaft,Auto,Black,18001,Hatchback,Mitsubishi
2023-09-05,Male,2750000,LS400,DoubleÂ Overhead Camshaft,Auto,Pale White,27001,Sedan,Lexus
2022-03-05,Female,685000,Montero,Overhead Camshaft,Manual,Black,16000,SUV,Mitsubishi
2022-11-28,Male,970000,LS400,DoubleÂ Overhead Camshaft,Auto,Pale White,27000,Sedan,Lexus
2023-06-06,Female,961000,323i,Overhead Camshaft,Manual,Pale White,21000,Hatchback,BMW
2022-03-21,Male,13500,LHS,DoubleÂ Overhead Camshaft,Auto,Red,16000,Hatchback,Chrysler
2023-06-23,Female,775000,A6,DoubleÂ Overhead Camshaft,Auto,Pale White,42001,SUV,Audi
2023-06-12,Male,13500,CR-V,DoubleÂ Overhead Camshaft,Auto,Pale White,39001,SUV,Honda
2023-05-07,Male,13500,Silhouette,DoubleÂ Overhead Camshaft,Auto,Red,12000,Sedan,Oldsmobile
2023-09-02,Male,1040000,323i,DoubleÂ Overhead Camshaft,Auto,Black,9001,Hatchback,BMW
2023-06-12,Female,2640000,Ranger,Overhead Camshaft,Manual,Black,18000,Hardtop,Ford
2022-01-12,Male,1700000,528i,Overhead Camshaft,Manual,Pale White,25000,SUV,BMW
2023-11-19,Male,1746000,Seville,Overhead Camshaft,Manual,Pale White,22600,SUV,Cadillac
2023-10-24,Female,622000,Passat,DoubleÂ Overhead Camshaft,Auto,Black,9001,Hatchback,Volkswagen
2023-09-08,Male,1815000,Ram Van,DoubleÂ Overhead Camshaft,Auto,Black,60500,Hatchback,Dodge
2023-10-03,Female,651500,Montero Sport,Overhead Camshaft,Manual,Pale White,12500,Hardtop,Mitsubishi
2022-12-02,Male,760000,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,Hardtop,Chrysler
2023-08-13,Male,610000,CL500,Overhead Camshaft,Manual,Black,22000,SUV,Mercedes-B
2023-12-14,Male,950000,C70,Overhead Camshaft,Manual,Pale White,24000,Hatchback,Volvo
2023-04-22,Male,640000,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,69001,Passenger,Volkswagen
2023-04-22,Male,1010000,I30,DoubleÂ Overhead Camshaft,Auto,Black,49000,Hardtop,Infiniti
2022-09-04,Female,13500,A6,Overhead Camshaft,Manual,Pale White,24001,SUV,Audi
2022-11-29,Male,838000,Ram Pickup,Overhead Camshaft,Manual,Pale White,20000,Hardtop,Dodge
2023-11-20,Male,562000,A6,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,SUV,Audi
2023-06-05,Male,13500,Malibu,DoubleÂ Overhead Camshaft,Auto,Pale White,25000,Hardtop,Chevrolet
2022-09-20,Male,13500,A6,Overhead Camshaft,Manual,Black,15000,SUV,Audi
2023-08-28,Male,2085000,Sunfire,DoubleÂ Overhead Camshaft,Auto,Black,18500,Sedan,Pontiac
2022-08-21,Male,13500,Corvette,Overhead Camshaft,Manual,Black,26000,SUV,Chevrolet
2022-05-31,Male,433000,LHS,DoubleÂ Overhead Camshaft,Auto,Black,26000,Hatchback,Chrysler
2022-09-10,Female,13500,3-Sep,DoubleÂ Overhead Camshaft,Auto,Black,26000,Sedan,Saab
2022-12-12,Female,1278000,Expedition,Overhead Camshaft,Manual,Black,18800,SUV,Ford
2023-08-14,Male,430000,Catera,DoubleÂ Overhead Camshaft,Auto,Pale White,75001,Hatchback,Cadillac
2023-07-25,Male,978500,C70,Overhead Camshaft,Manual,Black,36500,Hatchback,Volvo
2022-07-17,Male,580000,LHS,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,Hatchback,Chrysler
2022-03-29,Male,13500,Malibu,Overhead Camshaft,Manual,Pale White,14000,Hardtop,Chevrolet
2022-12-06,Male,705000,Cabrio,DoubleÂ Overhead Camshaft,Auto,Pale White,17001,Sedan,Volkswagen
2022-06-19,Male,1600000,Bonneville,DoubleÂ Overhead Camshaft,Auto,Red,19000,Hatchback,Pontiac
2023-09-22,Male,730000,Ram Pickup,Overhead Camshaft,Manual,Pale White,20001,SUV,Dodge
2022-07-23,Male,1460000,S-Type,Overhead Camshaft,Manual,Pale White,20000,Passenger,Jaguar
2022-04-13,Male,3450000,Mustang,Overhead Camshaft,Manual,Red,43000,Hatchback,Ford
2023-09-18,Male,887000,Bravada,Overhead Camshaft,Manual,Black,36001,Hatchback,Oldsmobile
2022-08-09,Male,1301000,Caravan,DoubleÂ Overhead Camshaft,Auto,Red,19100,SUV,Dodge
2022-11-27,Male,758500,Aurora,Overhead Camshaft,Manual,Red,71501,Passenger,Oldsmobile
2023-08-12,Male,1720000,3-Sep,DoubleÂ Overhead Camshaft,Auto,Red,69000,Sedan,Saab
2023-12-30,Male,716000,Passat,Overhead Camshaft,Manual,Red,20000,Hatchback,Volkswagen
2022-12-01,Male,1650000,Lumina,Overhead Camshaft,Manual,Red,12001,Passenger,Chevrolet
2022-11-09,Male,1370000,Xterra,Overhead Camshaft,Manual,Red,31000,Passenger,Nissan
2023-05-09,Male,1186000,Catera,DoubleÂ Overhead Camshaft,Auto,Pale White,75600,Hatchback,Cadillac
2022-11-11,Male,537000,Voyager,Overhead Camshaft,Manual,Red,20000,Passenger,Plymouth
2023-10-13,Female,1450000,Continental,Overhead Camshaft,Manual,Black,42001,Passenger,Lincoln
2023-11-03,Male,950000,Diamante,Overhead Camshaft,Manual,Black,22001,Hatchback,Mitsubishi
2023-03-03,Male,525000,Viper,DoubleÂ Overhead Camshaft,Auto,Red,41000,SUV,Dodge
2023-11-10,Female,892000,3000GT,Overhead Camshaft,Manual,Black,18000,Sedan,Mitsubishi
2022-06-16,Male,2752000,Passat,Overhead Camshaft,Manual,Pale White,12200,Hatchback,Volkswagen
2023-05-26,Male,13500,Voyager,Overhead Camshaft,Manual,Red,20000,Passenger,Plymouth
2022-10-15,Male,13500,Breeze,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,Hardtop,Plymouth
2022-08-02,Female,13500,Bravada,Overhead Camshaft,Manual,Black,36000,Hatchback,Oldsmobile
2023-01-31,Male,13500,Altima,DoubleÂ Overhead Camshaft,Auto,Pale White,20000,Hatchback,Nissan
2023-07-21,Female,13500,CL500,Overhead Camshaft,Manual,Black,22000,SUV,Mercedes-B
2023-09-02,Female,13500,Escalade,DoubleÂ Overhead Camshaft,Auto,Black,28001,Sedan,Cadillac
2022-09-21,Male,2120000,4Runner,DoubleÂ Overhead Camshaft,Auto,Black,26000,Sedan,Toyota
2022-10-23,Male,727000,A8,Overhead Camshaft,Manual,Red,13000,Passenger,Audi
2022-12-31,Male,13500,328i,Overhead Camshaft,Manual,Red,21000,Sedan,BMW
2022-02-15,Male,670000,Durango,DoubleÂ Overhead Camshaft,Auto,Black,24000,SUV,Dodge
2023-09-02,Female,605000,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,22001,Passenger,Volkswagen
2022-03-19,Male,1200000,Ram Van,DoubleÂ Overhead Camshaft,Auto,Black,60000,Hatchback,Dodge
2023-07-14,Male,855000,LHS,Overhead Camshaft,Manual,Black,51001,Hatchback,Chrysler
2023-11-03,Male,13500,I30,Overhead Camshaft,Manual,Pale White,22000,Hardtop,Infiniti
2023-05-07,Male,1080000,Alero,Overhead Camshaft,Manual,Black,17000,Hardtop,Oldsmobile
2023-05-30,Male,1500000,Cherokee,DoubleÂ Overhead Camshaft,Auto,Pale White,36001,Sedan,Jeep
2022-12-19,Male,3207000,Eclipse,Overhead Camshaft,Manual,Black,25701,Hatchback,Mitsubishi
2023-08-13,Male,650000,Voyager,DoubleÂ Overhead Camshaft,Auto,Pale White,22001,Passenger,Plymouth
2023-01-08,Female,13500,Ranger,Overhead Camshaft,Manual,Black,18001,Hardtop,Ford
2022-01-31,Male,1350000,Camry,Overhead Camshaft,Manual,Black,34000,Hatchback,Toyota
2023-04-19,Male,1150000,Frontier,Overhead Camshaft,Manual,Black,53000,Hatchback,Nissan
2022-09-21,Male,772000,Jetta,Overhead Camshaft,Manual,Pale White,24001,Passenger,Volkswagen
2023-11-05,Male,1450000,Malibu,Overhead Camshaft,Manual,Pale White,41000,Hardtop,Chevrolet
2023-10-14,Male,1035000,ES300,DoubleÂ Overhead Camshaft,Auto,Pale White,27500,Hardtop,Lexus
2022-05-21,Male,1700000,Diamante,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,Hatchback,Mitsubishi
2023-11-07,Female,720000,Montero Sport,Overhead Camshaft,Manual,Black,42000,Hardtop,Mitsubishi
2022-04-22,Female,1070000,Bonneville,Overhead Camshaft,Manual,Black,36000,Hatchback,Pontiac
2023-04-03,Male,291000,Forester,DoubleÂ Overhead Camshaft,Auto,Black,22000,SUV,Subaru
2023-08-08,Male,413000,C-Class,DoubleÂ Overhead Camshaft,Auto,Pale White,15001,Hatchback,Mercedes-B
2022-05-03,Male,13500,Cherokee,DoubleÂ Overhead Camshaft,Auto,Red,14000,Sedan,Jeep
2023-05-19,Male,1305000,Metro,DoubleÂ Overhead Camshaft,Auto,Pale White,12501,Passenger,Chevrolet
2023-08-30,Male,1015000,Elantra,Overhead Camshaft,Manual,Pale White,22500,Sedan,Hyundai
2022-09-17,Female,2020000,Prizm,Overhead Camshaft,Manual,Black,16000,Hardtop,Chevrolet
2023-04-08,Female,680000,Cutlass,DoubleÂ Overhead Camshaft,Auto,Red,15001,Sedan,Oldsmobile
2022-12-15,Male,770000,S-Class,DoubleÂ Overhead Camshaft,Auto,Black,39000,SUV,Mercedes-B
2022-08-07,Male,1210000,Intrigue,DoubleÂ Overhead Camshaft,Auto,Black,18000,SUV,Oldsmobile
2023-02-05,Male,3110000,Quest,Overhead Camshaft,Manual,Black,19000,SUV,Nissan
2023-07-25,Female,671000,Passat,Overhead Camshaft,Manual,Pale White,27001,Hatchback,Volkswagen
2023-11-12,Female,600000,Maxima,Overhead Camshaft,Manual,Pale White,16000,Sedan,Nissan
2022-11-08,Male,13500,Xterra,DoubleÂ Overhead Camshaft,Auto,Black,9000,Passenger,Nissan
2023-04-23,Female,675000,Lumina,Overhead Camshaft,Manual,Black,10000,Passenger,Chevrolet
2023-12-29,Male,440000,Escalade,DoubleÂ Overhead Camshaft,Auto,Pale White,38000,Sedan,Cadillac
2023-12-03,Male,13500,Silhouette,DoubleÂ Overhead Camshaft,Auto,Red,12000,Sedan,Oldsmobile
2023-09-23,Male,13500,LHS,DoubleÂ Overhead Camshaft,Auto,Pale White,20000,Hatchback,Chrysler
2022-10-31,Male,13500,4Runner,DoubleÂ Overhead Camshaft,Auto,Red,35000,Sedan,Toyota
2023-06-09,Male,930000,Taurus,Overhead Camshaft,Manual,Black,69001,SUV,Ford
2022-03-28,Male,2385000,Crown Victoria,DoubleÂ Overhead Camshaft,Auto,Red,29500,Passenger,Ford
2022-12-25,Male,825000,LHS,DoubleÂ Overhead Camshaft,Auto,Pale White,21001,Hatchback,Chrysler
2023-05-26,Female,620000,Voyager,Overhead Camshaft,Manual,Red,20001,Passenger,Plymouth
2023-08-08,Male,860000,Town car,DoubleÂ Overhead Camshaft,Auto,Pale White,18000,Hatchback,Lincoln
2022-05-31,Male,760000,Monte Carlo,DoubleÂ Overhead Camshaft,Auto,Red,21000,Hatchback,Chevrolet
2023-12-06,Male,1820000,Montero Sport,Overhead Camshaft,Manual,Red,29000,Hardtop,Mitsubishi
2022-04-18,Male,13500,Navigator,DoubleÂ Overhead Camshaft,Auto,Black,19000,Sedan,Lincoln
2022-04-26,Male,1080000,TL,DoubleÂ Overhead Camshaft,Auto,Black,28000,Hatchback,Acura
2023-11-05,Female,818000,GS300,Overhead Camshaft,Manual,Pale White,17001,Passenger,Lexus
2023-04-01,Male,1830000,3-Sep,DoubleÂ Overhead Camshaft,Auto,Red,69001,Sedan,Saab
2022-08-24,Male,13500,Ram Pickup,Overhead Camshaft,Manual,Pale White,16001,Hardtop,Dodge
2023-06-28,Female,1200500,SL-Class,Overhead Camshaft,Manual,Pale White,26051,Hardtop,Mercedes-B
2022-01-04,Male,440000,M-Class,Overhead Camshaft,Manual,Pale White,41000,Hatchback,Mercedes-B
2022-10-02,Male,13500,Camry,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,Hatchback,Toyota
2023-09-23,Male,13500,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Red,21000,SUV,Nissan
2023-03-11,Male,13500,LX470,DoubleÂ Overhead Camshaft,Auto,Black,22000,SUV,Lexus
2022-08-17,Female,13500,Neon,Overhead Camshaft,Manual,Black,29000,SUV,Plymouth
2023-07-29,Male,775000,RL,Overhead Camshaft,Manual,Pale White,31000,SUV,Acura
2023-04-30,Male,430000,LHS,DoubleÂ Overhead Camshaft,Auto,Black,26000,Hatchback,Chrysler
2023-04-23,Male,790000,Corvette,DoubleÂ Overhead Camshaft,Auto,Pale White,25001,SUV,Chevrolet
2023-04-04,Male,975000,I30,DoubleÂ Overhead Camshaft,Auto,Black,21000,SUV,Infiniti
2022-08-17,Female,13500,Town car,Overhead Camshaft,Manual,Black,17000,Hatchback,Lincoln
2022-08-09,Male,472000,Taurus,Overhead Camshaft,Manual,Black,69000,SUV,Ford
2022-09-08,Male,13500,Grand Prix,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,Passenger,Pontiac
2023-02-05,Male,13500,Concorde,Overhead Camshaft,Manual,Black,18001,Hardtop,Chrysler
2023-04-09,Female,1381000,SC,Overhead Camshaft,Manual,Red,61101,Hatchback,Saturn
2023-09-04,Male,710000,Diamante,Overhead Camshaft,Manual,Pale White,19001,Hatchback,Mitsubishi
2022-06-29,Male,1420000,SL-Class,Overhead Camshaft,Manual,Black,38000,Hatchback,Mercedes-B
2022-09-03,Male,812000,Civic,DoubleÂ Overhead Camshaft,Auto,Pale White,25000,Hatchback,Honda
2022-10-31,Male,1560000,S-Type,Overhead Camshaft,Manual,Pale White,20000,Passenger,Jaguar
2022-03-31,Male,945000,Diamante,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,Hatchback,Mitsubishi
2023-07-03,Male,13500,TL,DoubleÂ Overhead Camshaft,Auto,Pale White,24001,Hatchback,Acura
2022-11-16,Male,702000,Ranger,Overhead Camshaft,Manual,Black,18000,Hardtop,Ford
2023-04-07,Female,696000,Ranger,DoubleÂ Overhead Camshaft,Auto,Black,61000,SUV,Ford
2023-11-04,Male,555000,Outback,Overhead Camshaft,Manual,Pale White,49001,SUV,Subaru
2023-12-29,Male,620000,TL,DoubleÂ Overhead Camshaft,Auto,Black,28001,Hatchback,Acura
2023-11-21,Male,870000,Durango,DoubleÂ Overhead Camshaft,Auto,Black,19000,SUV,Dodge
2023-12-11,Female,710000,Passat,DoubleÂ Overhead Camshaft,Auto,Pale White,32000,Hatchback,Volkswagen
2023-08-23,Female,13500,Intrepid,Overhead Camshaft,Manual,Black,11000,Sedan,Dodge
2023-09-02,Male,1165000,Catera,DoubleÂ Overhead Camshaft,Auto,Pale White,28501,Hatchback,Cadillac
2023-08-06,Male,1670000,Malibu,Overhead Camshaft,Manual,Pale White,82000,SUV,Chevrolet
2023-05-07,Male,640000,Land Cruiser,Overhead Camshaft,Manual,Pale White,27001,SUV,Toyota
2022-05-31,Male,1381500,Voyager,Overhead Camshaft,Manual,Red,20150,Passenger,Plymouth
2023-02-12,Male,13500,Sable,DoubleÂ Overhead Camshaft,Auto,Red,39000,Sedan,Mercury
2022-11-07,Female,1131000,Golf,DoubleÂ Overhead Camshaft,Auto,Pale White,18100,Hatchback,Volkswagen
2022-11-24,Male,731000,SL-Class,Overhead Camshaft,Manual,Pale White,26001,Hardtop,Mercedes-B
2023-09-01,Male,710000,Explorer,DoubleÂ Overhead Camshaft,Auto,Pale White,41000,Hatchback,Ford
2023-11-27,Male,1290000,A6,Overhead Camshaft,Manual,Pale White,13000,SUV,Audi
2022-06-12,Female,605000,Montero Sport,Overhead Camshaft,Manual,Red,29001,Hardtop,Mitsubishi
2022-12-01,Female,362000,Contour,DoubleÂ Overhead Camshaft,Auto,Pale White,62000,Sedan,Ford
2023-10-15,Female,1560000,Mountaineer,Overhead Camshaft,Manual,Red,21000,Hardtop,Mercury
2023-05-28,Male,13500,Sunfire,Overhead Camshaft,Manual,Red,43000,Sedan,Pontiac
2022-05-08,Male,13500,Expedition,Overhead Camshaft,Manual,Red,22000,SUV,Ford
2023-11-27,Male,700000,LW,DoubleÂ Overhead Camshaft,Auto,Pale White,18001,Hatchback,Saturn
2022-12-25,Male,1055000,Malibu,DoubleÂ Overhead Camshaft,Auto,Pale White,21500,Hardtop,Chevrolet
2022-11-17,Male,13500,Intrigue,DoubleÂ Overhead Camshaft,Auto,Red,39000,SUV,Oldsmobile
2023-05-06,Male,480000,SLK230,Overhead Camshaft,Manual,Red,71000,Hatchback,Mercedes-B
2023-09-17,Male,13500,Durango,Overhead Camshaft,Manual,Pale White,27001,SUV,Dodge
2022-09-24,Male,900000,Contour,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,Sedan,Ford
2023-12-29,Male,1280000,Escort,Overhead Camshaft,Manual,Black,11000,Passenger,Ford
2023-07-23,Male,1302000,Carrera Cabrio,DoubleÂ Overhead Camshaft,Auto,Pale White,32200,Passenger,Porsche
2022-12-27,Female,13500,Catera,DoubleÂ Overhead Camshaft,Auto,Pale White,75000,Hatchback,Cadillac
2023-06-06,Male,891000,Park Avenue,Overhead Camshaft,Manual,Black,29000,Hatchback,Buick
2023-09-12,Male,13500,RL,Overhead Camshaft,Manual,Black,18000,SUV,Acura
2023-03-31,Male,1011000,Breeze,DoubleÂ Overhead Camshaft,Auto,Red,39100,SUV,Plymouth
2022-06-09,Female,1942000,Bonneville,Overhead Camshaft,Manual,Black,36200,Hatchback,Pontiac
2022-01-06,Male,1390000,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,Pale White,12000,SUV,Toyota
2022-05-21,Male,2015000,Cougar,DoubleÂ Overhead Camshaft,Auto,Black,26501,Hatchback,Mercury
2023-12-24,Male,2875000,Prizm,DoubleÂ Overhead Camshaft,Auto,Black,16500,Hardtop,Chevrolet
2023-09-17,Male,910000,Durango,DoubleÂ Overhead Camshaft,Auto,Black,24000,SUV,Dodge
